J,N,P,parameter,estimator,posterior_mean,posterior_sd,hdi_low,hdi_high,true_value,in_hdi,interval_width,r_hat,ess_bulk,ess_tail,abs_error,sq_error,relative_width
500,10000,10,beta_japanese,MLE,1.2737509756869811,0.06069679210036832,1.1547852631702593,1.392716688203703,1.25,True,0.23793142503344367,,,,0.023750975686981146,0.0005641088460835695,0.19034514002675493
500,10000,10,beta_korean,MLE,0.6992664433995681,0.06351703625641408,0.5747730523369965,0.8237598344621397,0.75,True,0.24898678212514325,,,,0.050733556600431884,0.0025738937653292256,0.33198237616685766
500,10000,10,beta_indian,MLE,1.0129160722053059,0.06358455190725743,0.8882903504670814,1.1375417939435304,1.0,True,0.249251443476449,,,,0.012916072205305884,0.0001668249212126752,0.249251443476449
500,10000,10,beta_french,MLE,0.9211490255768026,0.05774865488980817,0.8079616619927785,1.0343363891608266,0.95,True,0.22637472716804807,,,,0.028850974423197395,0.0008323787251679903,0.2382891864926822
500,10000,10,beta_mexican,MLE,1.2572660639589195,0.05610535814477411,1.1472995619951623,1.3672325659226767,1.3,True,0.21993300392751447,,,,0.042733936041080556,0.0018261892895631636,0.16917923379039573
500,10000,10,beta_lebanese,MLE,0.8392643442981166,0.0599621401310571,0.7217385496412447,0.9567901389549884,0.9,True,0.2350515893137437,,,,0.06073565570188344,0.0036888198735377264,0.26116843257082634
500,10000,10,beta_log_dist,MLE,-0.5787731978570175,0.013094855838350327,-0.6044391153001841,-0.5531072804138509,-0.6,True,0.051331834886333194,,,,0.02122680214298245,0.00045057712921732425,0.08555305814388867
500,20000,10,beta_rating,MLE,0.7442233157835706,0.012218992796719836,0.7202740899019997,0.7681725416651415,0.75,True,0.04789845176314178,,,,0.005776684216429406,3.337008053634462e-05,0.06386460235085571
500,20000,10,beta_cost,MLE,-0.399666980745193,0.0025403853963803925,-0.4046461361220986,-0.39468782536828745,-0.4,True,0.00995831075381115,,,,0.0003330192548069988,1.1090182407220878e-07,0.024895776884527876
500,20000,10,beta_chinese,MLE,0.7840938585429982,0.04436229326903557,0.6971437637356884,0.8710439533503079,0.83,True,0.1739001896146195,,,,0.04590614145700178,0.0021073738234702578,0.20951830074050543
500,20000,10,beta_japanese,MLE,1.2521215288868999,0.04295342168221854,1.1679328223897516,1.3363102353840481,1.25,True,0.16837741299429654,,,,0.0021215288868998705,4.500884817950604e-06,0.13470193039543724
500,20000,10,beta_korean,MLE,0.6783852894347268,0.04505765142601265,0.5900722926397419,0.7666982862297116,0.75,True,0.17662599358996967,,,,0.07161471056527324,0.005128666769347859,0.23550132478662622
500,20000,10,beta_indian,MLE,0.9745793274740658,0.04517139610139205,0.8860433911153374,1.0631152638327943,1.0,True,0.17707187271745695,,,,0.025420672525934163,0.0006462105916707839,0.17707187271745695
500,20000,10,beta_french,MLE,0.9419682265692514,0.040711969409730736,0.8621727665261791,1.0217636866123236,0.95,True,0.1595909200861445,,,,0.008031773430748568,6.450938444287862e-05,0.16799044219594159
500,20000,10,beta_mexican,MLE,1.2586387058365893,0.03963449208728829,1.1809551013455042,1.3363223103276745,1.3,True,0.15536720898217027,,,,0.04136129416341072,0.001710756654872194,0.11951323767859251
500,20000,10,beta_lebanese,MLE,0.8512511504576534,0.04228902474001468,0.7683646619672246,0.9341376389480822,0.9,True,0.16577297698085758,,,,0.048748849542346595,0.0023764503317023457,0.1841921966453973
500,20000,10,beta_log_dist,MLE,-0.5854240614149469,0.009215789212457186,-0.6034870082713629,-0.5673611145585308,-0.6,True,0.03612589371283215,,,,0.014575938585053128,0.00021245798563524057,0.06020982285472025
500,50000,10,beta_rating,MLE,0.7436729470072824,0.007735754966448109,0.728510867273044,0.7588350267415207,0.75,True,0.030324159468476664,,,,0.00632705299271763,4.003159957265712e-05,0.040432212624635554
500,50000,10,beta_cost,MLE,-0.4009355889539484,0.0016135114511212384,-0.404098071398146,-0.39777310650975073,-0.4,True,0.00632496488839529,,,,0.000935588953948352,8.753266907501714e-07,0.015812412220988226
500,50000,10,beta_chinese,MLE,0.8549719346876313,0.028365967791622374,0.7993746378160514,0.9105692315592112,0.83,True,0.11119459374315976,,,,0.02497193468763137,0.0006235975220433268,0.13396939005199973
500,50000,10,beta_japanese,MLE,1.2674370451952628,0.027663629164944758,1.213216332031971,1.3216577583585545,1.25,True,0.10844142632658338,,,,0.01743704519526279,0.00030405054514163717,0.0867531410612667
500,50000,10,beta_korean,MLE,0.7322329054809922,0.028861140594565727,0.6756650699156433,0.788800741046341,0.75,True,0.11313567113069767,,,,0.01776709451900782,0.0003156696476473577,0.1508475615075969
500,50000,10,beta_indian,MLE,1.013022152148435,0.029007228777593926,0.956167983744351,1.0698763205525192,1.0,True,0.11370833680816828,,,,0.013022152148435051,0.00016957644657699162,0.11370833680816828
500,50000,10,beta_french,MLE,0.9785796691364365,0.026204657660472187,0.927218540121911,1.0299407981509618,0.95,True,0.10272225802905088,,,,0.028579669136436503,0.0008167974879481812,0.10812869266215883
500,50000,10,beta_mexican,MLE,1.2997702567000446,0.02551688438150978,1.2497571633122855,1.3497833500878038,1.3,True,0.10002618677551833,,,,0.00022974329995539833,5.278198387439613e-08,0.07694322059655256
500,50000,10,beta_lebanese,MLE,0.9010031626664118,0.02715645384654183,0.8477765131271898,0.9542298122056337,0.9,True,0.10645329907844392,,,,0.001003162666411761,1.0063353352823542e-06,0.11828144342049324
500,50000,10,beta_log_dist,MLE,-0.5896224401615432,0.005814032019071865,-0.6010179429189241,-0.5782269374041623,-0.6,True,0.022791005514761764,,,,0.010377559838456785,0.0001076937482007512,0.03798500919126961
